Time	Node	Type	Packets	
10	336	CacheHits	0
10	336	CacheMisses	0
10	337	CacheHits	0
10	337	CacheMisses	0
10	338	CacheHits	0
10	338	CacheMisses	0
10	339	CacheHits	0
10	339	CacheMisses	0
10	340	CacheHits	0
10	340	CacheMisses	0
10	341	CacheHits	0
10	341	CacheMisses	0
10	342	CacheHits	0
10	342	CacheMisses	0
10	343	CacheHits	0
10	343	CacheMisses	0
10	344	CacheHits	120
10	344	CacheMisses	415
10	345	CacheHits	0
10	345	CacheMisses	0
10	346	CacheHits	0
10	346	CacheMisses	0
10	347	CacheHits	0
10	347	CacheMisses	0
10	348	CacheHits	0
10	348	CacheMisses	0
10	349	CacheHits	0
10	349	CacheMisses	0
10	350	CacheHits	0
10	350	CacheMisses	0
10	351	CacheHits	0
10	351	CacheMisses	0
10	352	CacheHits	0
10	352	CacheMisses	0
10	353	CacheHits	0
10	353	CacheMisses	0
10	354	CacheHits	96
10	354	CacheMisses	385
10	355	CacheHits	332
10	355	CacheMisses	468
10	356	CacheHits	0
10	356	CacheMisses	0
10	357	CacheHits	0
10	357	CacheMisses	0
10	358	CacheHits	0
10	358	CacheMisses	0
10	359	CacheHits	0
10	359	CacheMisses	0
10	360	CacheHits	0
10	360	CacheMisses	0
10	361	CacheHits	0
10	361	CacheMisses	0
10	362	CacheHits	0
10	362	CacheMisses	0
10	363	CacheHits	0
10	363	CacheMisses	0
10	364	CacheHits	343
10	364	CacheMisses	519
10	365	CacheHits	0
10	365	CacheMisses	0
10	366	CacheHits	0
10	366	CacheMisses	0
10	367	CacheHits	0
10	367	CacheMisses	0
10	368	CacheHits	0
10	368	CacheMisses	0
10	369	CacheHits	0
10	369	CacheMisses	0
10	370	CacheHits	0
10	370	CacheMisses	0
10	371	CacheHits	0
10	371	CacheMisses	0
10	372	CacheHits	0
10	372	CacheMisses	0
10	373	CacheHits	0
10	373	CacheMisses	0
10	374	CacheHits	0
10	374	CacheMisses	0
10	375	CacheHits	0
10	375	CacheMisses	0
10	376	CacheHits	0
10	376	CacheMisses	0
10	377	CacheHits	0
10	377	CacheMisses	0
10	378	CacheHits	0
10	378	CacheMisses	0
10	379	CacheHits	0
10	379	CacheMisses	0
10	380	CacheHits	0
10	380	CacheMisses	0
10	381	CacheHits	0
10	381	CacheMisses	0
10	382	CacheHits	0
10	382	CacheMisses	0
10	383	CacheHits	0
10	383	CacheMisses	0
10	384	CacheHits	0
10	384	CacheMisses	0
10	385	CacheHits	0
10	385	CacheMisses	0
10	386	CacheHits	0
10	386	CacheMisses	0
10	387	CacheHits	0
10	387	CacheMisses	0
10	388	CacheHits	0
10	388	CacheMisses	0
10	389	CacheHits	0
10	389	CacheMisses	0
10	390	CacheHits	0
10	390	CacheMisses	0
10	391	CacheHits	0
10	391	CacheMisses	0
10	392	CacheHits	0
10	392	CacheMisses	0
10	393	CacheHits	0
10	393	CacheMisses	0
10	394	CacheHits	0
10	394	CacheMisses	0
10	395	CacheHits	0
10	395	CacheMisses	0
10	396	CacheHits
